prova,local,link,data
TURTLE RUN,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/178;,2017-AGO-06
CAMELBAK MOUNTAIN RACE 2017,"TERESÓPOLIS, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/175;,2017-AGO-26
OFF ROAD RUN,"NITERÓI, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/179;,2017-AGO-06
5º DESAFIO RIVELLI,"BARBACENA, MG",https://www.chronomax.com.br/index.php/Maxraceresults/dados/86;,2017-AGO-20
I CORRIDA E CÃOMINHADA ABRIGO JOÃO ROSA,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/180;,2017-AGO-06
MEIA MARATONA DE BRUSQUE,"BRUSQUE, SC",https://www.chronomax.com.br/index.php/Maxraceresults/dados/87;,2017-AGO-20
CIRCUITO NORTOX RUN – ETAPA PONTA GROSSA,"PONTA GROSSA, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/93;,2017-JUL-30
CORRIDA BRASPINE 20 ANOS,"JAGUARIAIVA, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/89;,2017-AGO-20
CIRCUITO NORTOX RUN – ETAPA MARINGÁ,"MARINGA, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/95;,2017-JUL-30
100 ANOS DO CORPO DE BOMBEIROS,"NITERÓI, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/176;,2017-AGO-20
CIRCUITO NORTOX RUN – ETAPA ARAPONGAS,"ARAPONGAS, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/96;,2017-JUL-30
21ª CORRIDA PEDESTRE DA PMPR – PROVA CEL. SARMENTO,"CURITIBA, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/90;,2017-AGO-13
2ª CORRIDA SANTOS DUMONT,"CURITIBA, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/97;,2017-JUL-28
21ª CORRIDA E CAMINHADA PELO CÉLIO DE BARROS,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/177;,2017-AGO-13
TRIATHLON ESCOLA NAVAL,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/181;,2017-JUL-26
RISSIÊ RUN – FOR WOMAN,"LONDRINA, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/91;,2017-AGO-06
CIRCUITO MTB CHALLENGE – DESAFIO SOBRE RODAS,"MARIALVA, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/98;,2017-JUL-23
8ª CORRIDA PROFESSOR NAKASHI,"CONCORDIA, SC",https://www.chronomax.com.br/index.php/Maxraceresults/dados/69;,2017-OUT-22
MEIA MARATONA DE PASSO FUNDO,"PASSO FUNDO, RS",https://www.chronomax.com.br/index.php/Maxraceresults/dados/92;,2017-AGO-06
ANGELS RUN – CORRIDA PELA VIDA,"GASPAR, SC",https://www.chronomax.com.br/index.php/Maxraceresults/dados/99;,2017-JUL-23
22ª CORRIDA E CAMINHADA PELO CÉLIO DE BARROS,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/160;,2017-OUT-22
16ª MEIA MARATONA ROTARY TOLEDO,"TOLEDO, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/74;,2017-OUT-08
MATER DEI NIGHT RUN 2017,"PATO BRANCO, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/70;,2017-OUT-21
NIT RUNNING DESAFIO TUPINAMBÁ 2017,"NITERÓI, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/165;,2017-OUT-08
XC RUN BUZIOS 2017,"ARMAÇÃO DE BUZIOS, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/161;,2017-OUT-21
3ª CORRIDA DO CIRCUITO DE PASSO FUNDO 2017,"PASSO FUNDO, RS",https://www.chronomax.com.br/index.php/Maxraceresults/dados/75;,2017-OUT-01
II DESAFIO DO BOSQUE,"MARINGA, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/71;,2017-OUT-15
1° RIDERS MOUTAIN BIKE FESTIVAL,"CAMBORIÚ, SC",https://www.chronomax.com.br/index.php/Maxraceresults/dados/76;,2017-OUT-01
EMPIRE NIGHT RUN,"SÃO LOURENÇO DO OESTE, SC",https://www.chronomax.com.br/index.php/Maxraceresults/dados/147;,2018-MAR-17
DUATHLON SÃO JOSÉ DOS PINHAIS 2017,"SÃO JOSÉ DOS PINHAIS, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/377;,2017-OUT-01
CORRIDA OUTUBRO ROSA 2017,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/162;,2017-OUT-15
JOGOS CARIOCAS DE VERÃO 2018 - Natação,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/235;,2018-MAR-17
MEIA DO PONTAL 2017,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/166;,2017-SET-30
CORRIDA SOLDADO DO BOPE 2017,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/163;,2017-OUT-15
JOGOS CARIOCAS DE VERÃO 2018 - Corrida,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/237;,2018-MAR-17
2ª CORRIDA E CAMINHADA DAS ACADEMIAS,"SÃO GONÇALO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/168;,2017-SET-17
34ª CORRIDA INTEGRAÇÃO CAMPINAS,"CAMPINAS, SP",https://www.chronomax.com.br/index.php/Maxraceresults/dados/33;,2017-SET-24
DUATHLON FUNIL FURNAS - ITATIAIA 2017,"ITATIAIA, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/164;,2017-OUT-14
DESAFIO BRAVES LET'S GO,"SÃO JOSÉ DOS PINHAIS, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/238;,2018-MAR-17
ENDORFINA RUN - ETAPA LAGOA 2017,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/169;,2017-SET-17
