prova,local,data,link
TRAIL MARATHON RIO DE JANEIRO 2022,"RIO DE JANEIRO, RJ",2022-04-16,https://www.chronomax.com.br/index.php/Maxraceresults/dados/988;
CIRCUITO SAÚDE - ETAPA PIRACICABA,"PIRACICABA, SP",2022-03-20,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1885/cs3_piracicaba.clax;
MEIA MARATONA DE NITERÓI 2022,"NITERÓI, RJ",2022-09-11,https://chronomax.com.br/resultados/g-live.html?f=neorace/2022/SETEMBRO/MEIANIT/meianiteroi22.clax;
17 EDIÇÃO DESAFIO DA MANTIQUEIRA,"CAMPOS DO JORDÃO, SP",2022-10-09,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2280/desafio_mantiqueira.clax;
LIFE ITAIPU 2022,"NITERÓI, RJ",2022-11-13,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1226;
NIGHT RUN UMUARAMA,"UMUARAMA, PR",2022-12-03,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2153/night_run_umuarama.clax;
TRICOLOR NIGHT RUN - 1º ETAPA 2023,"SÃO PAULO, SP",2023-06-17,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2401/tricolor_night_run.clax;
PICOS PRO RACE - PIAUI - 2023,"PIAUI, PI",2023-07-07,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2500/picos_pro_mtb.clax;
BRONKOS RACE - GUARAREMA - SÃO PAULO,"GUARAREMA, SP",2023-06-25,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2707/bronkos_race.clax;
CORRIDA GRANADO PINK 2022,"RIO DE JANEIRO, RJ",2022-03-12,https://www.chronomax.com.br/index.php/Maxraceresults/dados/928;
ATHENAS RUN STRONGER SP 2022,"SÃO PAULO, SP",2022-06-26,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1857/athenas_sp.clax;
XTERRA - OURO PRETO,"OURO PRETO, MG",2022-08-13,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1926/xterra_ouro_preto.clax;
37ª CORRIDA INTEGRAÇÃO CAMPINAS,"CAMPINAS, SP",2022-09-25,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2006/integracao_campinas.clax;
BSB CITY HALF MARATHON,"BRASILIA, DF",2022-11-06,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1865/bsb_city_half_marathon.clax;
CORRIDA DE NATAL DO MUSAL 2022,"RIO DE JANEIRO, RJ",2022-12-11,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1234;
ATHENAS RUN FASTER -SP,"SÃO PAULO, SP",2023-03-12,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2421/athenas_faster_sp.clax;
DESAFIO BRAVES MUD RACE - 2023,"SÃO JOSÉ DOS PINHAIS, PR",2023-03-25,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2499/desafio_braves.clax;
WRUN CORRIDA FEMININA - SÃO PAULO 2023,"SÃO PAULO, SP",2023-04-16,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2438/wrun_sp.clax;
TF EXPERIENCE - PORTO FELIZ - 2023,"PORTO FELIZ, SP",2023-06-25,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2647/tf_experience.clax;
ATHENAS RUN FASTER SP 2022,"SÃO PAULO, SP",2022-02-06,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1854/athenas_run_faster.clax;
CIRCUITO CAPIXABA DE MONTANHAS - PEDRA AZUL 2022,"DOMINGOS MARTINS, ED",2022-06-04,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1033;
MARATONA FILA,"SÃO PAULO, SP",2022-08-28,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2214/maratona_fila.clax;
CENTAURO REVEZA ADIDAS - SÃO PAULO,"SÃO PAULO, SP",2022-09-11,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2247/centauro_reveza.clax;
CORRIDA SANTOS DUMONT 2022,"RIO DE JANEIRO, RJ",2022-10-09,https://chronomax.com.br/resultados/g-live.html?f=neorace/2022/outubro/stosdumont/santosdumont.clax;
CIRCUITO ATHENAS 21K - RJ,"RIO DE JANEIRO, RJ",2022-11-13,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1860/athenas_rj.clax;
CENTAURO REVEZA ADIDAS - BH,"BELO HORIZONTE, MG",2022-12-04,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2286/centauro_reveza_bh.clax;
SUMMER 48KM,"CAPÃO DA CANOA , RS",2022-12-03,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2331/summer_48k.clax;
POA HALF MARATHON 2023,"PORTO ALEGRE, RS",2023-04-16,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2371/poa_half_marathon.clax;
CIRCUITO CAPIXABA DE MONTANHAS - ETAPA PEDRA AZUL NIGHT RUN 2023,"DOMINGOS MARTINS, ES",2023-05-20,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1407;
MARATONA FILA - SÃO PAULO - 2023,"SÃO PAULO, SP",2023-08-27,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2696/maratona_fila_sp.clax;
