id_evento,nome,data,cidade,estado,tipo_evento,evento_terceiro,organizador,id_organizador
36458,Corrida e Caminhada de Pedestres de Guareí,2019-05-01 00:00:00,Guare&iacute;,SP,Corrida de Rua,1,,0
36446,GRAND TOUR BRAZIL - SP,2019-09-30 00:00:00,S&atilde;o Paulo,SP,Bike,1,,0
36448,GRAND TOUR BRAZIL - ES,2019-09-30 00:00:00,Vit&oacute;ria,ES,Bike,1,,0
36449,GRAND TOUR BRAZIL - MG,2019-09-30 00:00:00,Belo Horizonte,MG,Bike,1,,0
36450,GRAND TOUR BRAZIL - PR,2019-09-30 00:00:00,Curitiba,PR,Bike,1,,0
36452,GRAND TOUR BRAZIL - PB,2019-09-30 00:00:00,Jo&atilde;o Pessoa,PB,Bike,1,,0
36453,GRAND TOUR BRAZIL - GO,2019-09-30 00:00:00,Goi&acirc;nia,GO,Bike,1,,0
36454,GRAND TOUR BRAZIL - RS,2019-09-30 00:00:00,Porto Alegre,RS,Bike,1,,0
36460,Ice Run - 99RUN.com - MT,2019-12-31 00:00:00,Cuiab&aacute;,MT,Corrida de Rua,1,,0
36461,Ice Run - 99RUN.com - PE,2019-12-31 00:00:00,Recife,PE,Corrida de Rua,1,,0
36464,Ice Run - 99RUN.com - RJ,2019-12-31 00:00:00,Rio de Janeiro,RJ,Corrida de Rua,1,,0
36465,Ice Run - 99RUN.com - SC,2019-12-31 00:00:00,Florian&oacute;polis,SC,Corrida de Rua,1,,0
36466,Ice Run - 99RUN.com - PR,2019-12-31 00:00:00,Curitiba,PR,Corrida de Rua,1,,0
36445,SMART PÁSCOA,2019-04-20 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,1,,0
36444,FAST PÁSCOA,2019-04-20 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,1,,0
36434,Corrida do Milhão,2019-03-30 00:00:00,Capela do Alto,SP,Corrida de Rua,1,,0
36433,Corrida da Infantaria 2019,2019-05-26 00:00:00,Belo Horizonte,MG,Corrida de Rua,1,,0
36431,Corrida do Pequeno Príncipe,2019-04-14 00:00:00,Curitiba,PR,Corrida de Rua,1,,0
36430,Circuito Mundial – Etapa Espanha – Belo Horizonte,2019-07-14 00:00:00,Belo Horizonte,MG,Corrida de Rua,1,,0
36418,8ª - JNR - Jaraguá Night Race,2019-04-06 00:00:00,Jaragu&aacute; do Sul,SC,Corrida de Rua,1,,0
36420,Corrida OCP 100 anos,2019-05-26 00:00:00,Jaragu&aacute; do Sul,SC,Corrida de Rua,1,,0
36412,Corrida Granja do Torto 2019,2019-06-30 00:00:00,Bras&iacute;lia,DF,Corrida de Rua,1,,0
36413,Vai Totó 4° edição,2019-03-24 00:00:00,Porto Alegre,RS,Corrida de Rua,1,,0
36408,1ª Corrida Rustica de Ubaporanga,2019-04-21 00:00:00,Ubaporanga,MG,Corrida de Rua,1,,0
36406,Run and Burn,2019-05-19 00:00:00,Belo Horizonte,MG,Corrida de Rua,1,,0
36407,Ponte 10K,2019-08-18 00:00:00,Campinas,SP,Corrida de Rua,1,,0
36374,Corrida POUPEX 2019,2019-07-20 00:00:00,Bras&iacute;lia,DF,Corrida de Rua,1,,0
36404,I Corrida EcoPosto - Alta Performance,2019-05-26 00:00:00,Macap&aacute;,AP,Corrida de Rua,1,,0
36393,Super 5k 2019 - 1ª Etapa,2019-05-19 00:00:00,S&atilde;o Jos&eacute; dos Campos,SP,Corrida de Rua,1,,0
